pff_PLAYID,pff_GAMEID,pff_GAMEDATE,pff_GAMESEASON,pff_WEEK,pff_GSISGAMEKEY,pff_GSISPLAYID,pff_QUARTER,pff_DOWN,pff_CLOCK,pff_BLITZDOG,pff_CATCHABLE,pff_DEEPPASS,pff_DEFSCORE,pff_DRAW,pff_DRIVE,pff_DRIVEPLAY,pff_GAINLOSSNET,pff_GARBAGETIME,pff_GETOFFTIME,pff_KICKYARDS,pff_NOHUDDLE,pff_NOPLAY,pff_OFFFORMATIONUNBALANCED,pff_OFFSCORE,pff_OPTION,pff_PENALTYYARDS,pff_PLAYACTION,pff_PREVIOUSPFFPLAYID,pff_RETURNYARDS,pff_SCORE,pff_SCREEN,pff_SNAPTIME,pff_SORTORDER,pff_STUNT,pff_TIMETOPRESSURE,pff_TIMETOTHROW,pff_TRICKLOOK,pff_TRICKPLAY,pff_YARDSAFTERCATCH,pff_YARDSAFTERCONTACT,pff_2MINUTE,pff_BALLCARRIER,pff_BOXPLAYERS,pff_BUNCHED,pff_CENTERPASSBLOCKDIRECTION,pff_CHECKROUTE,pff_CHIPROUTE,pff_DBDEPTH,pff_DEFFRONT,pff_DEFPERSONNEL,pff_DEFPLAYERS,pff_DEFPLAYERSRATINGS,pff_DEFSUBSTITUTIONS,pff_DEFSUCCESS,pff_DEFTEAM,pff_DISTANCE,pff_DLDROP,pff_DLTECHNIQUES,pff_DOUBLETEAM,pff_DRIVEENDEVENT,pff_DRIVEENDFIELDPOSITION,pff_DRIVEENDPLAYNUMBER,pff_DRIVESTARTEVENT,pff_DRIVESTARTFIELDPOSITION,pff_DROPBACKDEPTH,pff_DROPBACKTYPE,pff_FIELDPOSITION,pff_FIRSTCONTACT,pff_FORCEDFUMBLE,pff_FUMBLE,pff_FUMBLERECOVERY,pff_GAINLOSS,pff_GUNNERS,pff_HANGTIME,pff_HASH,pff_HASHDEF,pff_HIT,pff_HURRY,pff_INCOMPLETIONTYPE,pff_INJURED,pff_INTERCEPTION,pff_KEYPLAYERS,pff_KICKCONTACT,pff_KICKDEPTH,pff_KICKDIRACTUAL,pff_KICKDIRINTENDED,pff_KICKER,pff_KICKRESULT,pff_KICKTYPE,pff_KICKWIDTH,pff_KICKZONE,pff_LBDEPTH,pff_MISSEDTACKLE,pff_MOFOCPLAYED,pff_MOFOCSHOWN,pff_NEGATIVEPFFGRADE,pff_OFFFORMATION,pff_OFFFORMATIONGROUP,pff_OFFODDITIES,pff_OFFPERSONNEL,pff_OFFPERSONNELBASIC,pff_OFFPERSONNELSKILL,pff_OFFPLAYERS,pff_OFFPLAYERSRATINGS,pff_OFFSUBSTITUTIONS,pff_OFFSUCCESS,pff_OFFTEAM,pff_ONLOS,pff_OPERATIONTIME,pff_PASSBLOCKING,pff_PASSBREAKUP,pff_PASSCOVERAGE,pff_PASSCOVERAGE1,pff_PASSCOVERAGE2,pff_PASSCOVERAGEPLAYERS,pff_PASSDEPTH,pff_PASSDIRECTION,pff_PASSER,pff_PASSPATTERN,pff_PASSPATTERNBASIC,pff_PASSPATTERNBYPLAYER,pff_PASSRECEIVERPOSITIONTARGET,pff_PASSRECEIVERTARGET,pff_PASSRESULT,pff_PASSROUTETARGET,pff_PASSROUTETARGETGROUP,pff_PASSRUSHPLAYERS,pff_PASSRUSHRESULT,pff_PASSWIDTH,pff_PASSZONE,pff_PENALTY,pff_PISTOL,pff_PLAYACTIONFAKE,pff_PLAYENDFIELDPOSITION,pff_POAACTUAL,pff_POACHANGEREASON,pff_POAINTENDED,pff_POSITIVEPFFGRADE,pff_PRESS,pff_PRESSUREDETAIL,pff_PUMPFAKE,pff_PUNTRUSH,pff_PURSUIT,pff_QB,pff_QBMOVEDOFFSPOT,pff_QBPRESSURE,pff_QBPRESSUREALLOWED,pff_QBRESET,pff_QBSCRAMBLE,pff_RBALIGNMENT,pff_RBDEPTH,pff_RBDIRECTION,pff_RBSINBACKFIELD,pff_RETDIRECTIONINTENDED,pff_RETURNDIRECTION,pff_RETURNER,pff_RUNCONCEPT3,pff_RUNCONCEPTPRIMARY,pff_RUNCONCEPTSECONDARY,pff_RUNPASS,pff_SACK,pff_SCOREDIFFERENTIAL,pff_SHIFTMOTION,pff_SHOTGUN,pff_SPECIALTEAMSTYPE,pff_STOP,pff_STSAFETIES,pff_TACKLE,pff_TACKLEASSIST,pff_TEALIGNMENT,pff_TOUCHDOWN,pff_UNBLOCKEDPRESSURE,pff_VISE,pff_WRALIGNMENT,pff_PLAYCLOCK,pff_RUNPASSOPTION
3338314,15720,2019-11-30,2019,14,76671,35,1,0,15:00,0,,0,0,0,,,51,0,,59,0,0,0,0,0,,0,,8,0.00,0,,1,0,,,0,0,,,0,NCUN 08,,,,,,,5-5,,NCST D11 (R4); NCST D19 (R2); NCST D21 (R1); NCST D22 (L4); NCST D25 (L1); NCST D30 (R3); NCST 36 (L5); NCST 37 (L3); NCST 38 (L2); NCST D39 (R5); NCST S99 (PK),NCST D11 (+0.5); NCST D19 (0.0); NCST D21 (0.0); NCST D22 (0.0); NCST D25 (0.0); NCST D30 (0.0); NCST 36 (0.0); NCST 37 (0.0); NCST 38 (0.0); NCST D39 (0.0); NCST S99 (-0.5),,,NCST,0,,,NCST 36 (L5); NCUN D08 (RF2); NCUN D24 (RF1),,,,,,,,-35,,,,,59,,4.04,L,R,,,,,,NCST D11 (R4); NCST S99 (PK),,59,L,L,NCST S99,RETURNED,D,9,3L,,,,,NCST S99,,6-0-3,,,,,NCUN D08 (RF2); NCUN 08 (KR); NCUN 11 (LF1); NCUN 14 (LF3); NCUN 23 (LF2); NCUN D24 (RF1); NCUN 25 (KFB); NCUN 34 (RF3); NCUN 80 (MB); NCUN 84 (LB); NCUN 87 (RB),NCUN D08 (0.0); NCUN 08 (0.0); NCUN 11 (0.0); NCUN 14 (0.0); NCUN 23 (0.0); NCUN D24 (0.0); NCUN 25 (0.0); NCUN 34 (0.0); NCUN 80 (0.0); NCUN 84 (0.0); NCUN 87 (0.0),,,NCUN,,,,,,,,,,,,,,,,,,,,,,,,,,,+14,,,,NCST D11,,,0,,,,,,,,,,,,,R,R,NCUN 08,,,,,,0,,,KICKOFF,,2; NCST D21 (R1); NCST D22 (L4),NCST D11,,,,,,,19,0
3338981,15720,2019-11-30,2019,14,76671,462,1,0,5:59,0,,0,3,0,,,24,0,,57,0,0,0,0,0,,0,3338973,33,3.00,0,,20,0,,,0,0,,,0,NCUN 08,,,,,,,5-5,,NCST D11 (L4); NCST D19 (L2); NCST D21 (L1); NCST D22 (R5); NCST D25 (R1); NCST D30 (L3); NCST 36 (R4); NCST 37 (R3); NCST 38 (R2); NCST D39 (L5); NCST S99 (PK),NCST D11 (+1.0); NCST D19 (+0.5); NCST D21 (0.0); NCST D22 (0.0); NCST D25 (0.0); NCST D30 (-0.5); NCST 36 (0.0); NCST 37 (-0.5); NCST 38 (0.0); NCST D39 (0.0); NCST S99 (0.0),,,NCST,0,,,,,,,,,,,-35,,,,,57,,,R,L,,,,,,NCST D11 (L4); NCST D11 (L4); NCST D19 (L2); NCST D30 (L3); NCST 37 (R3); NCUN D08 (RF2); NCUN 08 (KR); NCUN 14 (LF3),,52,R,R,NCST S99,RETURNED,F,43,5R,,NCST D30,,,NCUN D08; NCST D30; NCST 37,,6-0-3,,,,,NCUN D08 (RF2); NCUN 08 (KR); NCUN 11 (LF1); NCUN 14 (LF3); NCUN 23 (LF2); NCUN D24 (RF1); NCUN 25 (KFB); NCUN 34 (RF3); NCUN 80 (MB); NCUN 84 (LB); NCUN 87 (RB),NCUN D08 (-0.5); NCUN 08 (+0.5); NCUN 11 (0.0); NCUN 14 (+0.5); NCUN 23 (0.0); NCUN D24 (0.0); NCUN 25 (0.0); NCUN 34 (0.0); NCUN 80 (0.0); NCUN 84 (0.0); NCUN 87 (0.0),,,NCUN,,,,,,,,,,,,,,,,,,,,,,,,,,,+41,,,,NCUN 08; NCUN 14; NCST D11; NCST D19,,,0,,,,,,,,,,,,,L,L,NCUN 08,,,,,,-3,,,KICKOFF,,2; NCST D21 (L1); NCST D22 (R5),NCST D19,NCST D39,,,,,,10,0
3340613,15720,2019-11-30,2019,14,76671,1887,2,0,1:25,0,,0,10,0,,,40,0,,69,0,0,0,6,0,,0,3340603,,10.06,0,,82,0,,,0,0,,,0,NCUN 08,,,,,,,5-5,,NCST D11 (R4); NCST D19 (R2); NCST D21 (R1); NCST D22 (L5); NCST D30 (R3); NCST 34 (L1); NCST 36 (L4); NCST 37 (L3); NCST 38 (L2); NCST D39 (R5); NCST S99 (PK),NCST D11 (0.0); NCST D19 (0.0); NCST D21 (0.0); NCST D22 (0.0); NCST D30 (0.0); NCST 34 (0.0); NCST 36 (0.0); NCST 37 (0.0); NCST 38 (0.0); NCST D39 (0.0); NCST S99 (0.0),,,NCST,0,,,NCST 36 (L4); NCUN D24 (RF1); NCUN 34 (RF3),,,,,,,,-35,,,,,69,,3.89,L,R,,,,,,,,69,L,L,NCST S99,TOUCHBACK,D,6,2L,,,,,,,6-0-3,,,,,NCUN D08 (RF2); NCUN 08 (KR); NCUN 11 (LF1); NCUN 14 (LF3); NCUN 23 (LF2); NCUN D24 (RF1); NCUN 25 (KFB); NCUN 34 (RF3); NCUN 80 (MB); NCUN 84 (LB); NCUN 87 (RB),NCUN D08 (0.0); NCUN 08 (0.0); NCUN 11 (0.0); NCUN 14 (0.0); NCUN 23 (0.0); NCUN D24 (0.0); NCUN 25 (0.0); NCUN 34 (0.0); NCUN 80 (0.0); NCUN 84 (0.0); NCUN 87 (0.0),,,NCUN,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,,,,0,,,,,,,,,,,,,,,NCUN 08,,,,,,-4,,,KICKOFF,,2; NCST D21 (R1); NCST D22 (L5),,,,,,,,10,0
3339857,15720,2019-11-30,2019,14,76671,1210,2,0,9:09,0,,0,3,0,,,40,0,,62,0,0,0,3,0,,0,3339820,,3.03,0,,52,0,,,0,0,,,0,NCST 87,,,,,,,4-6,,NCUN D04 (R1); NCUN D06 (R3); NCUN D08 (L2); NCUN D13 (R2); NCUN D16 (L1); NCUN D21 (R5); NCUN 23 (L4); NCUN D24 (R6); NCUN D25 (L3); NCUN 34 (R4); NCUN S90 (PK),NCUN D04 (0.0); NCUN D06 (0.0); NCUN D08 (0.0); NCUN D13 (0.0); NCUN D16 (0.0); NCUN D21 (0.0); NCUN 23 (0.0); NCUN D24 (0.0); NCUN D25 (0.0); NCUN 34 (0.0); NCUN S90 (0.0),,,NCUN,0,,,NCUN D24 (R6); NCST D30 (RF3); NCST 37 (LF3),,,,,,,,-35,,,,,62,,3.76,L,R,,,,,,,,62,L,L,NCUN S90,FAIR CATCH,D,8,2L,,,,,,,6-0-3,,,,,NCST D30 (RF3); NCST D33 (RF1); NCST D35 (LB); NCST 36 (RF2); NCST 37 (LF3); NCST 38 (KFB); NCST D39 (LF2); NCST 45 (MB); NCST D49 (RB); NCST 84 (LF1); NCST 87 (KR),NCST D30 (0.0); NCST D33 (0.0); NCST D35 (0.0); NCST 36 (0.0); NCST 37 (0.0); NCST 38 (0.0); NCST D39 (0.0); NCST 45 (0.0); NCST D49 (0.0); NCST 84 (0.0); NCST 87 (0.0),,,NCST,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,,,,0,,,,,,,,,,,,,,,NCST 87,,,,,,0,,,KICKOFF,,1; NCUN D13 (R2),,,,,,,,14,0
3340310,15720,2019-11-30,2019,14,76671,1610,2,0,4:13,0,,0,6,0,,,40,0,,59,0,0,0,3,0,,0,3340301,,3.06,0,,69,0,,,0,0,,,0,NCST 87,,,,,,,4-6,,NCUN D06 (R3); NCUN D08 (L2); NCUN D13 (R2); NCUN D16 (L1); NCUN D20 (R1); NCUN D21 (R5); NCUN 23 (L4); NCUN D24 (R6); NCUN D25 (L3); NCUN 34 (R4); NCUN S90 (PK),NCUN D06 (0.0); NCUN D08 (0.0); NCUN D13 (0.0); NCUN D16 (0.0); NCUN D20 (0.0); NCUN D21 (0.0); NCUN 23 (0.0); NCUN D24 (0.0); NCUN D25 (0.0); NCUN 34 (0.0); NCUN S90 (-0.5),,,NCUN,0,,,,,,,,,,,-35,,,,,59,,4.05,L,R,,,,,,NCUN S90 (PK),,59,C,C,NCUN S90,FAIR CATCH,D,20,4,,,,,NCUN S90,,6-0-3,,,,,NCST D30 (RF3); NCST D33 (RF1); NCST D35 (LB); NCST 36 (RF2); NCST 37 (LF3); NCST 38 (KFB); NCST D39 (LF2); NCST 45 (MB); NCST D49 (RB); NCST 84 (LF1); NCST 87 (KR),NCST D30 (0.0); NCST D33 (0.0); NCST D35 (0.0); NCST 36 (0.0); NCST 37 (0.0); NCST 38 (0.0); NCST D39 (0.0); NCST 45 (0.0); NCST D49 (0.0); NCST 84 (0.0); NCST 87 (0.0),,,NCST,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,,,,0,,,,,,,,,,,,,,,NCST 87,,,,,,-3,,,KICKOFF,,1; NCUN D20 (R1),,,,,,,,14,0
3340755,15720,2019-11-30,2019,14,76671,2091,3,0,15:00,0,,0,6,0,,,40,0,,67,0,0,0,10,0,,0,3340733,,10.06,0,,90,0,,,0,0,,,0,NCST 87,,,,,,,4-6,,NCUN D06 (R3); NCUN D08 (L2); NCUN D13 (R2); NCUN D16 (L1); NCUN D20 (R1); NCUN D21 (R5); NCUN 23 (L4); NCUN D24 (R6); NCUN D25 (L3); NCUN 34 (R4); NCUN S90 (PK),NCUN D06 (0.0); NCUN D08 (0.0); NCUN D13 (0.0); NCUN D16 (0.0); NCUN D20 (0.0); NCUN D21 (0.0); NCUN 23 (0.0); NCUN D24 (0.0); NCUN D25 (0.0); NCUN 34 (0.0); NCUN S90 (0.0),,,NCUN,0,,,NCUN D24 (R6); NCST D30 (RF3); NCST 37 (LF3),,,,,,,,-35,,,,,67,,3.89,L,R,,,,,,,,67,C,C,NCUN S90,TOUCHBACK,D,23,4,,,,,,,6-0-3,,,,,NCST D30 (RF3); NCST D33 (RF1); NCST D35 (LB); NCST 36 (RF2); NCST 37 (LF3); NCST 38 (KFB); NCST D39 (LF2); NCST 45 (MB); NCST D49 (RB); NCST 84 (LF1); NCST 87 (KR),NCST D30 (0.0); NCST D33 (0.0); NCST D35 (0.0); NCST 36 (0.0); NCST 37 (0.0); NCST 38 (0.0); NCST D39 (0.0); NCST 45 (0.0); NCST D49 (0.0); NCST 84 (0.0); NCST 87 (0.0),,,NCST,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,,,,0,,,,,,,,,,,,,,,NCST 87,,,,,,4,,,KICKOFF,,1; NCUN D20 (R1),,,,,,,,,0
3341052,15720,2019-11-30,2019,14,76671,2483,3,0,10:07,0,,0,13,0,,,40,0,,70,0,0,0,10,0,,0,3341046,,10.13,0,,108,0,,,0,0,,,0,NCST 87,,,,,,,4-6,,NCUN D06 (R3); NCUN D08 (L2); NCUN D13 (R2); NCUN D16 (L1); NCUN D20 (R1); NCUN D21 (R5); NCUN 23 (L4); NCUN D24 (R6); NCUN D25 (L3); NCUN 34 (R4); NCUN S90 (PK),NCUN D06 (0.0); NCUN D08 (0.0); NCUN D13 (0.0); NCUN D16 (0.0); NCUN D20 (0.0); NCUN D21 (0.0); NCUN 23 (0.0); NCUN D24 (0.0); NCUN D25 (0.0); NCUN 34 (0.0); NCUN S90 (0.0),,,NCUN,0,,,NCUN D24 (R6); NCST D30 (RF3); NCST 37 (LF3),,,,,,,,-35,,,,,70,,3.88,L,R,,,,,,,,69,C,C,NCUN S90,TOUCHBACK,D,28,4,,,,,,,6-0-3,,,,,NCST D30 (RF3); NCST D33 (RF1); NCST D35 (LB); NCST 36 (RF2); NCST 37 (LF3); NCST 38 (KFB); NCST D39 (LF2); NCST 45 (MB); NCST D49 (RB); NCST 84 (LF1); NCST 87 (KR),NCST D30 (0.0); NCST D33 (0.0); NCST D35 (0.0); NCST 36 (0.0); NCST 37 (0.0); NCST 38 (0.0); NCST D39 (0.0); NCST 45 (0.0); NCST D49 (0.0); NCST 84 (0.0); NCST 87 (0.0),,,NCST,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,,,,0,,,,,,,,,,,,,,,NCST 87,,,,,,-3,,,KICKOFF,,1; NCUN D20 (R1),,,,,,,,14,0
3341436,15720,2019-11-30,2019,14,76671,2841,3,0,5:00,0,,0,20,0,,,40,0,,58,0,0,0,10,0,,0,3341428,,10.20,0,,125,0,,,0,0,,,0,NCST 87,,,,,,,4-6,,NCUN D06 (R3); NCUN D08 (L2); NCUN D13 (R2); NCUN D16 (L1); NCUN D20 (R1); NCUN D21 (R5); NCUN 23 (L4); NCUN D24 (R6); NCUN D25 (L3); NCUN 34 (R4); NCUN S90 (PK),NCUN D06 (0.0); NCUN D08 (0.0); NCUN D13 (0.0); NCUN D16 (0.0); NCUN D20 (0.0); NCUN D21 (0.0); NCUN 23 (0.0); NCUN D24 (0.0); NCUN D25 (0.0); NCUN 34 (0.0); NCUN S90 (-0.5),,,NCUN,0,,,NCUN D24 (R6); NCST D30 (RF3); NCST 37 (LF3),,,,,,,,-35,,,,,58,,4.00,L,R,,,,,,NCUN S90 (PK),,58,C,C,NCUN S90,FAIR CATCH,D,25,4,,,,,NCUN S90,,6-0-3,,,,,NCST D30 (RF3); NCST D33 (RF1); NCST D35 (LB); NCST 36 (RF2); NCST 37 (LF3); NCST 38 (KFB); NCST D39 (LF2); NCST 45 (MB); NCST D49 (RB); NCST 84 (LF1); NCST 87 (KR),NCST D30 (0.0); NCST D33 (0.0); NCST D35 (0.0); NCST 36 (0.0); NCST 37 (0.0); NCST 38 (0.0); NCST D39 (0.0); NCST 45 (0.0); NCST D49 (0.0); NCST 84 (0.0); NCST 87 (0.0),,,NCST,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,,,,0,,,,,,,,,,,,,,,NCST 87,,,,,,-10,,,KICKOFF,,1; NCUN D20 (R1),,,,,,,,14,0
